inspection_id,business_id,inspection_date,inspection_type,facility_rating_status,violation_count,inspection_notes,suspension_notes,inspector
06733066:2024-01-04:0,06733066,2024-01-04,,Pass,,,,Luz Brown
06733066:2024-01-04:1,06733066,2024-01-04,New Ownership (I),Pass,,,,Luz Brown
06733066:2024-07-29:0,06733066,2024-07-29,Routine,Pass,1.0,,,Kyle Chan
06733067:2024-05-06:0,06733067,2024-05-06,,Pass,11.0,,,Kristine Der
06733067:2025-04-08:0,06733067,2025-04-08,,Pass,,,,Kristine Der
06733068:2024-02-14:0,06733068,2024-02-14,Routine,Pass,2.0,,,Sophia Huie
06733068:2024-03-05:0,06733068,2024-03-05,Reinspection,Pass,,,,Sophia Huie
06733068:2025-02-26:0,06733068,2025-02-26,Routine,Pass,3.0,,,Jessica Jang
06733075:2024-07-17:0,06733075,2024-07-17,New Ownership (I),Pass,,,,Katie Dea
06733075:2024-07-22:0,06733075,2024-07-22,New Ownership (R),Pass,,,,Katie Dea
06733075:2024-08-02:0,06733075,2024-08-02,New Ownership (R),Pass,,,,Katie Dea
06733075:2025-11-20:0,06733075,2025-11-20,,Pass,8.0,,,Usman Javaid
06733076:2025-02-12:0,06733076,2025-02-12,Routine,Pass,,,,Farhan Khan
06733077:2024-06-27:0,06733077,2024-06-27,Routine,Closure,9.0,,,Michael Mooney
06733077:2024-06-28:0,06733077,2024-06-28,Reinspection,Pass,3.0,,,Michael Mooney
06733077:2024-08-06:0,06733077,2024-08-06,Reinspection,Pass,3.0,,,Michael Mooney
06733077:2025-04-24:0,06733077,2025-04-24,Routine,Pass,8.0,,,Michael Mooney
06733077:2025-12-04:0,06733077,2025-12-04,,Pass,6.0,,,John  Wells
06733077:2025-12-12:0,06733077,2025-12-12,,Pass,3.0,,,John  Wells
06733077:2026-06-11:0,06733077,2026-06-11,,Pass,3.0,,,John  Wells
06733077:2026-07-14:0,06733077,2026-07-14,,Pass,,,,John  Wells
06733078:2024-02-09:0,06733078,2024-02-09,New Ownership (R),Pass,,,,Farhan Khan
06733078:2024-05-01:0,06733078,2024-05-01,New Ownership (R),Pass,,,,Farhan Khan
06733078:2024-07-12:0,06733078,2024-07-12,New Ownership (R),Pass,,,,Farhan Khan
06733078:2024-07-12:1,06733078,2024-07-12,Routine,Pass,2.0,,,Farhan Khan
06733080:2025-01-22:0,06733080,2025-01-22,Routine,Pass,2.0,,,Farhan Khan
06733080:2025-01-29:0,06733080,2025-01-29,Reinspection,Pass,,,,Farhan Khan
06733081:2024-02-05:0,06733081,2024-02-05,Routine,Pass,,,,Philips Ossai
06733081:2024-02-13:0,06733081,2024-02-13,Reinspection,Pass,,,,Philips Ossai
06733081:2025-05-08:0,06733081,2025-05-08,Routine,Pass,2.0,,,Michael Mooney
06733082:2024-02-02:0,06733082,2024-02-02,,Pass,5.0,,,Sharon Aguila-Leonard
06733082:2024-02-08:0,06733082,2024-02-08,,Pass,1.0,,,Sharon Aguila-Leonard
06733082:2024-02-16:0,06733082,2024-02-16,New Ownership (I),Pass,,,,Sharon Aguila-Leonard
06733082:2024-02-16:1,06733082,2024-02-16,Routine,Pass,1.0,,,Sharon Aguila-Leonard
06733082:2025-02-07:0,06733082,2025-02-07,Routine,Pass,4.0,,,Tiombe Wiley
06733082:2025-02-10:0,06733082,2025-02-10,Reinspection,Pass,1.0,,,Tiombe Wiley
06733090:2024-01-17:0,06733090,2024-01-17,New Ownership (R),Pass,,,,Abel Simon
06733090:2024-01-17:1,06733090,2024-01-17,Routine,Pass,2.0,,,Abel Simon
06733090:2025-03-14:0,06733090,2025-03-14,Routine,Conditional Pass,13.0,,,Jessica Jang
06733090:2025-04-17:0,06733090,2025-04-17,Reinspection,Pass,3.0,,,Jessica Jang
06733092:2024-10-09:0,06733092,2024-10-09,Routine,Pass,9.0,,,Maribel Rodriguez
06733092:2024-11-20:0,06733092,2024-11-20,Reinspection,Pass,4.0,,,Maribel Rodriguez
06733092:2025-02-28:0,06733092,2025-02-28,Routine,Pass,2.0,,,Maribel Rodriguez
06733094:2025-01-14:0,06733094,2025-01-14,Routine,Pass,4.0,,,John  Wells
06733096:2024-02-15:0,06733096,2024-02-15,New Ownership (R),Pass,,,,Rochelle Veloso
06733096:2024-04-17:0,06733096,2024-04-17,Site Visit,Pass,,,,Rochelle Veloso
06733099:2024-05-03:0,06733099,2024-05-03,,Pass,,,,Sharon Aguila-Leonard
06733099:2024-05-15:0,06733099,2024-05-15,,Pass,1.0,,,Christina Lee
06733099:2024-06-12:0,06733099,2024-06-12,,Pass,,,,Christina Lee
06733099:2024-08-15:0,06733099,2024-08-15,,Pass,,,,Sharon Aguila-Leonard
06733099:2024-08-15:1,06733099,2024-08-15,Routine,Pass,3.0,,,Sharon Aguila-Leonard
06733099:2024-08-20:0,06733099,2024-08-20,Reinspection,Pass,,,,Sharon Aguila-Leonard
06733102:2025-02-07:0,06733102,2025-02-07,Routine,Pass,8.0,,,Amy Johnson
06733102:2025-02-26:0,06733102,2025-02-26,Reinspection,Pass,2.0,,,Amy Johnson
06733103:2024-06-14:0,06733103,2024-06-14,Routine,Pass,6.0,,,Michael Mooney
06733103:2025-06-12:0,06733103,2025-06-12,Routine,Pass,2.0,,,Michael Mooney
06733104:2024-02-05:0,06733104,2024-02-05,New Ownership (R),Pass,,,,Katie Dea
06733104:2024-02-05:1,06733104,2024-02-05,Routine,Pass,,,,Katie Dea
06733106:2024-02-14:0,06733106,2024-02-14,Routine,Pass,,,,Patrick Wood
06733106:2024-09-18:0,06733106,2024-09-18,Routine,Pass,2.0,,,Patrick Wood
06733106:2025-06-10:0,06733106,2025-06-10,Routine,Pass,2.0,,,Roy Bwogi
06733107:2024-04-16:0,06733107,2024-04-16,,Pass,,,,Sharon Aguila-Leonard
06733107:2024-05-02:0,06733107,2024-05-02,,Pass,,,,Sharon Aguila-Leonard
06733107:2024-05-03:0,06733107,2024-05-03,New Ownership (I),Pass,,,,Sharon Aguila-Leonard
06733107:2024-05-07:0,06733107,2024-05-07,New Ownership (R),Pass,,,,Sharon Aguila-Leonard
06733107:2024-05-10:0,06733107,2024-05-10,New Ownership (R),Pass,,,,Sharon Aguila-Leonard
06733107:2024-05-23:0,06733107,2024-05-23,Routine,Pass,,,,Sharon Aguila-Leonard
06733107:2025-05-09:0,06733107,2025-05-09,Routine,Pass,3.0,,,Sharon Aguila-Leonard
06733107:2025-05-14:0,06733107,2025-05-14,Reinspection,Pass,,,,Sharon Aguila-Leonard
06733108:2024-09-11:0,06733108,2024-09-11,Routine,Pass,3.0,,,John  Wells
06733108:2025-11-05:0,06733108,2025-11-05,,Pass,1.0,,,John  Wells
06733109:2024-12-16:0,06733109,2024-12-16,Routine,Pass,4.0,,,Katie Dea
06733109:2025-01-03:0,06733109,2025-01-03,Reinspection,Pass,1.0,,,Katie Dea
06733110:2024-09-03:0,06733110,2024-09-03,Complaint (I),Pass,,,,Maribel Rodriguez
06733110:2024-09-03:1,06733110,2024-09-03,Routine,Pass,7.0,,,Maribel Rodriguez
06733110:2024-09-27:0,06733110,2024-09-27,Complaint (R),Pass,,,,Maribel Rodriguez
06733110:2024-09-27:1,06733110,2024-09-27,Reinspection,Pass,3.0,,,Maribel Rodriguez
06733110:2025-06-25:0,06733110,2025-06-25,Routine,Pass,5.0,,,Maribel Rodriguez
06733115:2024-02-21:0,06733115,2024-02-21,,Pass,,,,Sharon Aguila-Leonard
06733120:2025-01-24:0,06733120,2025-01-24,Routine,Pass,,,,Zack Parsons
06733121:2024-10-31:0,06733121,2024-10-31,Routine,Pass,,,,Jesus Zapien
06733123:2024-02-09:0,06733123,2024-02-09,New Ownership (I),Pass,,,,Rochelle Veloso
06733123:2024-06-05:0,06733123,2024-06-05,Routine,Pass,,,,Farhan Khan
06733123:2025-03-19:0,06733123,2025-03-19,Routine,Pass,1.0,,,Farhan Khan
06733123:2025-04-10:0,06733123,2025-04-10,Complaint (I),Pass,,,,Farhan Khan
06733128:2024-01-09:0,06733128,2024-01-09,Reinspection,Pass,2.0,,,Patrick Wood
06733128:2025-03-19:0,06733128,2025-03-19,Routine,Pass,2.0,,,Roy Bwogi
06733129:2024-05-23:0,06733129,2024-05-23,Routine,Pass,3.0,,,Amelia Castelli
06733129:2025-02-28:0,06733129,2025-02-28,Routine,Pass,4.0,,,Amelia Castelli
06733130:2024-10-09:0,06733130,2024-10-09,Routine,Closure,6.0,,,John  Wells
06733130:2024-10-10:0,06733130,2024-10-10,Reinspection,Pass,3.0,,,John  Wells
06733130:2025-05-07:0,06733130,2025-05-07,Routine,Pass,3.0,,,John  Wells
06733130:2025-06-06:0,06733130,2025-06-06,Reinspection,Pass,3.0,,,John  Wells
06733130:2025-06-13:0,06733130,2025-06-13,Reinspection,Pass,3.0,,,John  Wells
06733130:2025-11-25:0,06733130,2025-11-25,,Pass,5.0,,,John  Wells
06733130:2026-06-04:0,06733130,2026-06-04,,Pass,4.0,,,John  Wells
06733130:2026-06-16:0,06733130,2026-06-16,,Pass,5.0,,,John  Wells
06733133:2024-06-26:0,06733133,2024-06-26,New Ownership (R),Pass,,,,Luz Brown
06733133:2025-02-05:0,06733133,2025-02-05,New Ownership (R),Pass,,,,Farhan Khan
06733133:2025-02-12:0,06733133,2025-02-12,New Ownership (R),Pass,,,,Farhan Khan
06733133:2025-02-12:1,06733133,2025-02-12,Routine,Pass,,,,Farhan Khan
06733136:2025-02-21:0,06733136,2025-02-21,Routine,Pass,3.0,,,Alyssa  Manzano
06733138:2024-01-04:0,06733138,2024-01-04,Routine,Pass,5.0,,,Carlos Barragan
06733138:2025-02-10:0,06733138,2025-02-10,Routine,Pass,2.0,,,Jessica Jang
06733139:2024-04-12:0,06733139,2024-04-12,,Pass,2.0,,,Rochelle Veloso
06733139:2024-04-19:0,06733139,2024-04-19,,Pass,,,,Rochelle Veloso
06733139:2024-04-19:1,06733139,2024-04-19,New Ownership (I),Pass,,,,Rochelle Veloso
06733139:2024-05-01:0,06733139,2024-05-01,New Ownership (R),Pass,,,,Rochelle Veloso
06733142:2025-06-08:0,06733142,2025-06-08,Routine,Pass,1.0,,,Alyssa  Manzano
06733145:2024-03-13:0,06733145,2024-03-13,Routine,Conditional Pass,7.0,,,Joanna Huber
06733145:2024-03-15:0,06733145,2024-03-15,Reinspection,Pass,,,,Philips Ossai
06733145:2024-03-20:0,06733145,2024-03-20,Reinspection,Pass,4.0,,,Joanna Huber
06733145:2025-05-20:0,06733145,2025-05-20,Routine,Pass,5.0,,,Michael Mooney
06733146:2024-08-01:0,06733146,2024-08-01,Routine,Pass,1.0,,,Michael Mooney
06733146:2025-06-09:0,06733146,2025-06-09,Routine,Pass,3.0,,,Michael Mooney
06733146:2026-06-04:0,06733146,2026-06-04,,Pass,3.0,,,John  Wells
06733146:2026-06-11:0,06733146,2026-06-11,,Pass,2.0,,,John  Wells
06733150:2024-02-29:0,06733150,2024-02-29,New Ownership (R),Pass,,,,Farhan Khan
06733150:2024-08-21:0,06733150,2024-08-21,Routine,Conditional Pass,7.0,,,Farhan Khan
06733150:2024-09-04:0,06733150,2024-09-04,Routine,Pass,2.0,,,Farhan Khan
06733150:2025-06-05:0,06733150,2025-06-05,Routine,Conditional Pass,6.0,,,Patrick Wood
06733150:2025-06-17:0,06733150,2025-06-17,Reinspection,Pass,6.0,,,Patrick Wood
06733150:2026-02-26:0,06733150,2026-02-26,,Pass,6.0,,,Roy Bwogi
06733151:2025-04-21:0,06733151,2025-04-21,Routine,Pass,1.0,,,Sojeatta Khim
